ID,HS_nr,Local_ID,Excavation_field,Bearing_degrees,Sex_estimation,Age_category,Age_years,Stature_cm,Church_distance_m,Easting_UTM32N,Northing_UTM32N
174,231,TX,A,78.8,Male,Adultus,30–50,174,5.27751769,580186.6521050184,6570816.2570902854
175,232,TX,B,49.1,Male,Maturus,30–50,,14.10552565,580194.5248858596,6570830.2114527142
176,233,TX,A,71.2,Female,Adult unsp.,20,,6.108732503,580187.0070444170,6570815.5028440645
177,233,TX,A,29.6,Female,Adult unsp.,20,,6.108732503,580186.9436623814,6570815.4204474175
178,235,TX,B,63.2,Female,Adultus,18–30,158,20.35366067,580196.8116370474,6570836.6326612839
179,236,TX,C,52.3,Male,Senilis,50,,25.73125386,580179.6284791298,6570846.1688999338
180,237,TX,C,66.1,Female,Adultus,18–30,,26.11258712,580180.1184293934,6570846.6342158271
181,239,TX,C,73.4,Female,Adultus,18–30,,26.00647035,580180.9559980006,6570846.6396901309
182,240,TX,B,61.9,Female,Adultus,18–30,,20.2542536,580197.5588796282,6570835.8635214809
183,241,TX,B,71.3,Female,Senilis,50,156,20.21852873,580197.7381631046,6570835.6513921767
184,242,TX,C,48.7,Female,Adult unsp.,20,,26.2617182,580173.8688263802,6570845.0384560302
185,247,TX,B,111.0,Male,Maturus,30–50,166,13.41045372,580191.9335413252,6570831.6316990890
186,249,TX,B,69.1,Female,Adultus,18–30,150,13.54497675,580191.3416667721,6570832.2021066900
187,250,TX,B,69.1,Male,Adultus,18–30,172,13.31345403,580190.5596563524,6570832.4045093870
188,251,TX,A,81.2,Male,Maturus,30–50,168,8.577289215,580189.9731412666,6570814.6639677547
189,253,TX,A,90.3,Male,Maturus,30–50,178,11.92109302,580193.2329144090,6570813.2794589363
190,254,TX,B,62.5,Female,Senilis,50,,13.82526203,580194.0743784370,6570830.2884625308
191,257,TX,B,73.0,Female,Maturus,30–50,155,14.59229409,580195.5905091864,6570829.6858607205
192,258,TX,C,48.8,Male,Adultus,18–30,170,26.25139196,580181.0736955500,6570846.8997196006
193,259,TW,C/D,73.4,Male,Adultus,25,165,,580200.7319527832,6570836.3263324331
194,260,TX,C,44.6,Female,Adult unsp.,20,,25.53389764,580173.2960772592,6570843.9914952703
195,261,TW,C/D,66.3,Female,Adultus,30–40 ,,31.95536564,580201.8006779882,6570837.1835104898
196,261,TX,A,83.4,Male,Maturus,30–50,176,31.95536564,580191.2473025854,6570814.0640718602
197,262,TW,C/D,88.3,Female,Maturus,45–50,161,25.31027462,580207.6254364076,6570834.1353083979
