ID,HS_nr,Local_ID,Excavation_field,Bearing_degrees,Sex_estimation,Age_category,Age_years,Stature_cm,Church_distance_m,Easting_UTM32N,Northing_UTM32N
381,439,TX,C,51.0,Male,Senilis,50,,19.57309562,580180.1122708006,6570839.9966214737
382,441,TX,C,75.3,Female,Maturus,30–50,176,16.78348978,580184.0989331410,6570837.5988760497
383,443,TX,C,69.5,Female,Adultus,18–30,,23.64901289,580176.8461638060,6570843.3523702063
384,444,TX,C,78.7,Female,Adult unsp.,20,,23.81367153,580176.7421520182,6570843.4919649735
385,445,TX,C,56.8,Female,Adultus,20–25,,24.14888118,580178.8292306550,6570844.4006995410
386,446,TX,C,82.5,Male,Adultus,18–30,167,22.89645461,580177.4462844502,6570842.7501966972
387,447,TX,C,60.7,Female,Adultus,18–30,154,21.19408033,580178.6752658378,6570841.3268774962
388,448,TX,C,63.9,Female,Maturus,30–50,,21.31684354,580179.2028519458,6570841.5828012377
389,450,TX,C,66.5,Male,Maturus,35–45,,22.1882361,580182.3519456788,6570842.9404287832
390,453,TX,C,57.2,Male,Senilis,50,,19.77689249,580181.1948145396,6570840.3907714067
391,455,TX,C,59.0,Female,Adultus,18–30,,19.29595617,580181.1578629832,6570839.8994525671
392,456,TX,C,66.6,Male,Adult unsp.,20,,18.98805601,580181.2536633140,6570839.6024715407
393,458,TX,C,64.9,Female,Adult unsp.,20,,18.48135826,580180.4010403694,6570838.9414492575
394,459,TX,C,61.5,Male,Adult unsp.,20,,18.12103545,580181.0264796724,6570838.6896312460
395,460,TX,C,67.3,Female,Adultus,18–30,,18.68858727,580181.6409703662,6570839.3533906806
396,463,TX,C,65.3,Male,Adult unsp.,20,,18.50456323,580183.2148329448,6570839.3027533628
397,465,TX,C,83.4,Female,Senilis,50,,17.33985362,580183.1737756600,6570838.1353579024
398,465,TX,C,95.7,Female,Senilis,50,,17.33985362,580183.9702869824,6570838.9072348541
399,467,TX,C,70.9,Female,Adult unsp.,20,,16.26772556,580184.3972827430,6570837.0788171105
400,468,TX,C,68.3,Male,Maturus,35–40,175,21.19685781,580181.7374549852,6570841.8893622961
401,469,TX,C,83.2,Female,Adultus,18–30,163,17.10692923,580183.1833556932,6570837.9026999557
402,470,TX,C,68.2,Male,Maturus,30–50,170,20.42667097,580178.4569779410,6570840.4728859756
403,471,TX,C,55.8,Female,Maturus,30–50,,19.55084463,580179.6291634178,6570839.8693438908
404,476,TX,C,66.8,Male,Senilis,50,,19.82589786,580182.6181337410,6570840.5919521004
405,477,TX,C,74.3,Female,Senilis,50,,19.10983259,580182.9712263892,6570839.8967154138
406,479,TX,C,55.4,Female,Adult unsp.,20,,17.70894864,580183.9087010556,6570838.5240335306
407,482,TX,C,62.7,Female,Adultus,18–30,159,19.72377447,580181.0757484140,6570840.3196054455
